track_id,track_name,artist_name,cosine_dist_mod2,predicted_genre,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,predicted_opm acoustic_prob,predicted_opm dance_prob,predicted_opm jazz_prob,predicted_opm rap_prob,predicted_opm reggae_prob,predicted_opm rock_prob
5xd70ihEAM1UA1DnM8af2v,Nandito Lang Ako,Skusta Clee,0.27772507735247753,opm rap,0.738,0.51,0.6284468136661013,0.0826,0.242,0.0,0.101,0.286,0.2862716235931638,0.0157427106350594,0.0087969703781857,0.021718187705463,0.9069296254670892,0.0245034030637635,0.0223091027504391
54b8IPvheXDpro2VR2rWAS,Ivana,Soulstice,0.2777868217287184,opm rap,0.87,0.483,0.7097649624424522,0.297,0.281,0.0,0.0526,0.611,0.3222306169237182,7.317788394548615e-05,0.0019583357218544,0.0018515815567565,0.9734313350494924,0.0222989426695423,0.0003866271184088
5bSvsXRBUjGe8pGScU0hPz,Ivana,Soulstice,0.2791166728586436,opm rap,0.871,0.48,0.7097649624424522,0.3,0.274,0.0,0.0531,0.609,0.3222892350979575,6.928306488339074e-05,0.0020641763167748,0.0017436982265968,0.9727753501848396,0.0229717693821854,0.00037572282472
1iV24xOkfxyD2Jb0NCC1Fj,"Come with Me (feat. Bosx1ne, Flow-G, King Badger & Jroa)",Ex Battalion,0.27925473065454465,opm rap,0.555,0.448,0.6277683547370972,0.363,0.527,3.65e-05,0.0497,0.749,0.0991233326385994,0.006449409410048,0.0118574137418305,0.0494181832942862,0.7986003312458577,0.0893799438972881,0.044294718410689
051Z51PfIFgEe1gdo1vl6B,Yearly,Ex Battalion,0.2822922468880419,opm rap,0.849,0.61,0.6359583232372183,0.109,0.114,0.0,0.0987,0.201,0.4198429032930387,0.0028975517853251,0.0510407046574218,0.0054685477629467,0.872283203360169,0.0575013332676944,0.0108086591664428
1EEv8UZMGJ9rG3N1Ilo5bz,Serve,Zae,0.28395757725744386,opm rap,0.953,0.41,0.6747274048945967,0.258,0.0047,0.0164,0.0931,0.37,0.5370662255106295,0.0001727688680681,0.0708186955112147,0.0010629132541816,0.8079856677098672,0.119785203000465,0.000174751656203
59aZ0ioyVrmtdut1KfU5aT,Amatz,Shanti Dope,0.2866095294279345,opm rap,0.825,0.496,0.655439786770051,0.0503,0.00817,0.000511,0.0827,0.185,0.5044354418507712,0.0073453373175398,0.0470642861759026,0.0082823358147446,0.800256511391854,0.119535898149617,0.0175156311503416
3o2i5lJIHshmbL62vSzVMv,Nararahuyo,Matthaios,0.28742108424627155,opm rap,0.524,0.331,0.5206203053065181,0.326,0.622,0.0,0.141,0.407,0.2366480825343894,0.0028963872376806,0.0018367943174367,0.0544214393899731,0.9236911932649672,0.0151405298714804,0.002013655918462
0WRSaei4JRI1KTYhMqQh9y,Sandali,Because,0.2906080461231396,opm rap,0.801,0.377,0.34552944027138355,0.0807,0.237,5.48e-06,0.451,0.388,0.4200773759899958,0.0302190493311831,0.0153203254911046,0.0282166008687349,0.8710554130683291,0.0335782009080726,0.0216104103325753
1emnGTAsF4zSaWidgvK08I,Sandali,Because,0.2906080461231396,opm rap,0.801,0.377,0.34552944027138355,0.0807,0.237,5.48e-06,0.451,0.388,0.4200773759899958,0.0302190493311831,0.0153203254911046,0.0282166008687349,0.8710554130683291,0.0335782009080726,0.0216104103325753
6DkK11BIC836tTu3056Kxg,Sabak Daddy,Cookie$,0.29214679040296254,opm rap,0.886,0.52,0.6725466440513691,0.222,0.00819,0.0,0.0779,0.319,0.5444390892038349,9.548981457339652e-05,0.0499046369532275,0.0011799762239347,0.8828602153661137,0.0652249871197643,0.0007346945223863
7I9RoRcJ0N9rvN4p4KWPsH,Paraluman,raven,0.31498870495992193,opm rap,0.745,0.497,0.790889265810516,0.136,0.00611,0.033,0.183,0.438,0.1594479470612755,0.001799138553653,0.0489035311959666,0.0122849978159214,0.775938380239729,0.1439201440733284,0.0171538081214019
1kORxnBnxk57ZDioKp9pQD,Kuwaderno,Ben&Ben,0.3169250410406852,opm acoustic,0.227,0.349,0.26513205718439553,0.0343,0.867,0.877,0.114,0.0856,0.2328248749478949,0.5486910426498239,0.0355006055716816,0.1706974772998875,0.1203373051884969,0.0040594298868569,0.1207141394032528
1x8pFCRfBnDqckyB6mlZci,Titig,MC Einstein,0.3184642031053835,opm rap,0.797,0.447,0.6607705354979404,0.28,0.146,0.0,0.0877,0.645,0.1853962588578575,0.0003289101094568,0.0091323091369509,0.0045910103417537,0.8923730613398644,0.092248952117678,0.0013257569542961
0AiUFrU3Bj0ZzYFSWoAM0O,Esmi,Because,0.33874024458546026,opm rap,0.783,0.37,0.3979646232129876,0.117,0.135,0.0,0.0742,0.403,0.1656093684868695,0.0172810461954516,0.0184402495695259,0.0273610941725393,0.833106369662351,0.0883683479065094,0.0154428924936226
7tQ2P3dP76bj1aSEfe8StO,Dantay,Kiyo,0.34977781020119036,opm rap,0.387,0.36,0.27380663920523374,0.312,0.812,0.00195,0.0936,0.14,0.1309008962067528,0.0042022916516343,0.0025196377287686,0.1575548007883716,0.8255770920184459,0.009363881656105,0.0007822961566747
5LZqOdfYUXunyhHmPqGI6j,Lexi,Nik Makino,0.39611062881473813,opm rap,0.704,0.481,0.4987157741700994,0.372,0.00265,0.0,0.11,0.178,0.1592655794080867,7.326857833757686e-05,0.0045622516007966,0.0020087118652546,0.8161351319236211,0.1764580299088661,0.0007626061231237
6aqH1me0AcXPwJEAflvNoT,Unan,Because,0.43551937539351726,opm rap,0.634,0.242,0.23159680155076334,0.153,0.195,0.0,0.152,0.0725,0.201594414339308,0.0086074734526181,0.0015650059892404,0.0343053155025215,0.924616082094024,0.0230672106825787,0.007838912279017
