Unnamed: 0,track_name,track_id,artist_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,predicted_genre_id,predicted_genre,predicted_genre_prob,predicted_opm acoustic_prob,predicted_opm dance_prob,predicted_opm jazz_prob,predicted_opm rap_prob,predicted_opm reggae_prob,predicted_opm rock_prob
38,Lifetime,3X9c4tBzSdGhlO4Fx3WYgW,Ben&Ben,0.386,0.657,7,0.865198027676157,1,0.0316,0.292,1.05e-05,0.393,0.401,0.9996084768918064,5,opm rock,0.7633037839613188,0.07900354173492283,0.029102163288290586,0.04943419825477482,0.030336128972553892,0.04882018378813931,0.7633037839613188
57,Balita,62y4i6e9QVug3Nf7gf7i9P,I Belong to the Zoo,0.485,0.891,2,0.9999999999999998,1,0.0539,0.00711,0.0,0.0847,0.474,0.8412665356036123,5,opm rock,0.7484096043649797,0.023313575204011082,0.07851674488940408,0.02508693138763929,0.020882181614730468,0.10379096253923552,0.7484096043649797
45,Vie (Sabihin Mo Kung),6FmoxZRTJrSCaZR3rjEv3W,NOBITA,0.686,0.271,7,0.48878638460314927,1,0.0346,0.458,1.22e-05,0.134,0.129,0.557345639932025,0,opm acoustic,0.7281011721963265,0.7281011721963265,0.009133795213967266,0.047351031864827677,0.09381679236414864,0.015002183416863145,0.10659502494386647
30,Paninindigan Kita,5d9Rka4T0szdC1MobhtXrV,Ben&Ben,0.624,0.596,4,0.534118021313822,1,0.0308,0.107,0.0,0.357,0.75,0.4431958281963281,5,opm rock,0.7085843262049295,0.03762315021264603,0.04245733955595372,0.06334465714148628,0.02337201879236674,0.12461850809261744,0.7085843262049295
24,Binibini,55RMhrPQYA6vLu5YMgXxFD,Zack Tabudlo,0.642,0.374,5,0.4292985525687927,1,0.032,0.423,1.54e-06,0.435,0.0979,0.5819699443537371,0,opm acoustic,0.70024405608087,0.70024405608087,0.007833151135127886,0.05240318917062469,0.10305724184980852,0.017888466268852557,0.11857389549471647
41,Paano Uusad,7oqMwb6Don3sa3BtzuKv0G,NOBITA,0.43,0.465,7,0.26713853984412284,1,0.0297,0.292,1.33e-06,0.283,0.321,0.666988770784046,5,opm rock,0.6812493187028577,0.16029743638865457,0.019221560934431673,0.07877919977200176,0.0381721333357381,0.022280350866316277,0.6812493187028577
15,You'll Be Safe Here,4whLOE7hwNIAykoMcSZmvO,Adie,0.376,0.13,11,0.2630030221091142,1,0.0321,0.943,2.43e-06,0.0894,0.256,0.34139148978707823,0,opm acoustic,0.671260801773802,0.671260801773802,0.017402718363022932,0.13638868453451686,0.04094720562746564,0.0051599821302520605,0.12884060757094098
51,Balang Araw,0z6gEZUTCnAQpaAAh1xnhy,I Belong to the Zoo,0.528,0.527,7,0.7732622872594241,1,0.0272,0.078,0.0,0.157,0.35,0.6733697644197129,5,opm rock,0.6710810316155769,0.11228746036233729,0.01763558903797445,0.06470544531462122,0.08017548557654207,0.05411498809294787,0.6710810316155769
28,Iba (ft. Moira Dela Torre),6FTQJjBTyBmjluSDwzHMNh,Zack Tabudlo,0.563,0.799,2,0.9070303801495148,1,0.0358,0.529,0.000241,0.28,0.469,0.6667888440905002,5,opm rock,0.654916544849918,0.07526678553502608,0.03739420362708981,0.09720211760504406,0.052656983178277765,0.08256336520464425,0.654916544849918
35,Maybe The Night,1yDiru08Q6omDOGkZMPnei,Ben&Ben,0.572,0.522,2,0.5494671544456814,1,0.0367,0.113,4.91e-05,0.114,0.498,0.1170320882343141,5,opm rock,0.6538201336739723,0.09160420244009779,0.021990106135682468,0.10061896413567444,0.0687823317897037,0.0631842618248693,0.6538201336739723
16,Luha,2f0T6IDfPT9sNJqqJxEOTR,Adie,0.355,0.179,8,0.26204867186257363,1,0.0373,0.905,0.00261,0.109,0.228,0.20230915331045296,0,opm acoustic,0.644697540094412,0.644697540094412,0.01997892061872122,0.15155642307188358,0.05755526792204753,0.004720835662767485,0.12149101263016833
29,The Ones We Once Loved,6YjKd9oPXKqjLUVPo4Y0oi,Ben&Ben,0.427,0.301,0,0.6488786384603149,0,0.0308,0.673,0.0,0.232,0.163,0.47682516410649434,0,opm acoustic,0.6437090750888392,0.6437090750888392,0.024621602576996894,0.11371797148817603,0.03644385334035258,0.007482580297909804,0.1740249172077254
32,Leaves,6wdCelHrPh7UfliNjwRTUv,Ben&Ben,0.447,0.16,6,0.40623508827739774,1,0.0372,0.913,0.0,0.0891,0.205,0.48575522308486896,0,opm acoustic,0.6404574838652822,0.6404574838652822,0.019551782652192522,0.18274469214803823,0.04385277489630031,0.007239416988142843,0.10615384945004365
31,Sa Susunod na Habang Buhay,3PgjBOoA5OytNGkglObpOd,Ben&Ben,0.311,0.342,2,0.5658501670112931,1,0.032,0.432,1.93e-06,0.114,0.274,0.9759504848222319,5,opm rock,0.6361729065691629,0.17312702910752117,0.03875228329067228,0.07902655757627955,0.05566488383307269,0.017256339623290796,0.6361729065691629
52,"Patawad, Paalam",5QJYLlZvfZHX1wUTrgROru,I Belong to the Zoo,0.472,0.288,2,0.6196118975664069,1,0.0318,0.865,1.01e-05,0.131,0.193,0.14982839625470656,0,opm acoustic,0.630636079402995,0.630636079402995,0.025108954803539814,0.18329921012201802,0.045802673138343075,0.00963157854082419,0.10552150399227998
43,Totoo,65C2UAv6EgIivHLmxBhvgx,NOBITA,0.576,0.318,6,0.3096866550023859,1,0.0309,0.272,0.0,0.0892,0.656,0.6994685282063243,5,opm rock,0.6290375922406742,0.10487956614405639,0.019882313548087394,0.19286175310966885,0.011488091846076583,0.04185068311143654,0.6290375922406742
11,Paraluman,2jbf9EytR7fzpSrPWAYCf9,Adie,0.519,0.246,5,0.17130586925401614,1,0.0396,0.774,2.35e-06,0.0946,0.108,0.2509080003998534,0,opm acoustic,0.6288293615473001,0.6288293615473001,0.019398537015316592,0.1872827510553527,0.04869941834055279,0.01235128699970616,0.10343864504177164
